date,open,high,low,close,volume
2025-09-03,114.0,115.09375,113.5,115.0,5528
2025-09-04,114.9375,115.65625,114.90625,115.34375,2872
2025-09-05,115.71875,116.9375,115.59375,116.90625,782
2025-09-08,116.9375,117.90625,116.78125,117.90625,7777
2025-09-09,117.53125,117.8125,117.40625,117.5625,604
2025-09-10,117.375,118.3125,117.28125,118.125,6373
2025-09-11,117.875,118.59375,117.71875,118.40625,552
2025-09-12,118.25,118.25,117.5,117.84375,76
2025-09-15,117.625,118.34375,117.625,118.28125,1034
2025-09-16,118.4375,118.46875,117.96875,118.40625,352
2025-09-17,118.71875,118.90625,117.71875,117.90625,6122
2025-09-18,117.625,118.1875,117.0,117.28125,1017
2025-09-19,117.0,117.0,116.625,116.78125,307838
2025-09-22,116.4375,116.59375,116.03125,116.25,356403
2025-09-23,116.1875,116.84375,116.15625,116.59375,378611
2025-09-24,116.84375,116.9375,116.15625,116.3125,370654
2025-09-25,116.34375,116.53125,115.75,116.21875,427690
2025-09-26,116.34375,116.65625,115.875,116.03125,397850
2025-09-29,116.09375,116.9375,116.09375,116.84375,279970
2025-09-30,116.84375,117.21875,116.46875,116.59375,571823
2025-10-01,116.59375,117.375,116.21875,116.96875,467654
2025-10-02,117.03125,117.40625,116.71875,117.28125,347376
2025-10-03,117.28125,117.5,116.84375,116.9375,327423
2025-10-06,116.78125,116.8125,116.15625,116.25,391042
2025-10-07,116.40625,117.0,116.03125,116.78125,360341
2025-10-08,116.8125,117.40625,116.625,116.8125,409594
2025-10-09,117.0,117.1875,116.5,116.625,381059
2025-10-10,116.71875,118.34375,116.6875,118.0625,593163
2025-10-13,117.875,118.0,117.34375,117.9375,593163
2025-10-14,118.0,118.78125,117.71875,118.28125,502735
2025-10-15,118.125,118.75,117.875,117.96875,414989
2025-10-16,118.125,118.9375,117.84375,118.84375,555449
2025-10-17,118.8125,119.34375,118.25,118.46875,442337
2025-10-20,118.34375,118.90625,118.1875,118.78125,321400
2025-10-21,118.875,119.46875,118.78125,119.1875,350038
2025-10-22,119.3125,119.59375,119.03125,119.28125,436793
2025-10-23,119.34375,119.40625,118.5,118.84375,419780
2025-10-24,118.65625,119.21875,118.34375,118.59375,400416
2025-10-27,118.15625,119.0,117.84375,118.78125,367479
2025-10-28,119.03125,119.25,118.78125,119.0625,325403
2025-10-29,119.09375,119.1875,117.875,118.21875,415476
2025-10-30,118.0,118.09375,117.28125,117.59375,511756
